 SeedNum,Iter,SolId,LineId,Fleet,TTC,Fare
   1,     1,   1,   1,   1,       9717.40,     38.61
   1,     1,   1,   2,   3,       9717.40,     38.61
   1,     1,   1,   3,   4,       9717.40,     38.61
   1,     1,   1,   4,   3,       9717.40,     38.61
   1,     2,   1,   1,   1,       9717.40,     38.61
   1,     2,   1,   2,   3,       9717.40,     38.61
   1,     2,   1,   3,   4,       9717.40,     38.61
   1,     2,   1,   4,   3,       9717.40,     38.61
   1,     3,   1,   1,   1,       9717.40,     38.61
   1,     3,   1,   2,   3,       9717.40,     38.61
   1,     3,   1,   3,   4,       9717.40,     38.61
   1,     3,   1,   4,   3,       9717.40,     38.61
   1,     4,   1,   1,   1,       9717.40,     38.61
   1,     4,   1,   2,   3,       9717.40,     38.61
   1,     4,   1,   3,   4,       9717.40,     38.61
   1,     4,   1,   4,   3,       9717.40,     38.61
   1,     5,   1,   1,   1,       9717.40,     38.61
   1,     5,   1,   2,   3,       9717.40,     38.61
   1,     5,   1,   3,   4,       9717.40,     38.61
   1,     5,   1,   4,   3,       9717.40,     38.61
   1,     6,   1,   1,   1,       9717.40,     38.61
   1,     6,   1,   2,   3,       9717.40,     38.61
   1,     6,   1,   3,   4,       9717.40,     38.61
   1,     6,   1,   4,   3,       9717.40,     38.61
   1,     7,   1,   1,   1,       9717.40,     38.61
   1,     7,   1,   2,   3,       9717.40,     38.61
   1,     7,   1,   3,   4,       9717.40,     38.61
   1,     7,   1,   4,   3,       9717.40,     38.61
   1,     8,   1,   1,   1,       9717.40,     38.61
   1,     8,   1,   2,   3,       9717.40,     38.61
   1,     8,   1,   3,   4,       9717.40,     38.61
   1,     8,   1,   4,   3,       9717.40,     38.61
   1,     9,   1,   1,   1,       9717.40,     38.61
   1,     9,   1,   2,   3,       9717.40,     38.61
   1,     9,   1,   3,   4,       9717.40,     38.61
   1,     9,   1,   4,   3,       9717.40,     38.61
   1,    10,   1,   1,   1,       9717.40,     38.61
   1,    10,   1,   2,   3,       9717.40,     38.61
   1,    10,   1,   3,   4,       9717.40,     38.61
   1,    10,   1,   4,   3,       9717.40,     38.61
   1,    11,   1,   1,   1,       9717.40,     38.61
   1,    11,   1,   2,   3,       9717.40,     38.61
   1,    11,   1,   3,   4,       9717.40,     38.61
   1,    11,   1,   4,   3,       9717.40,     38.61
   1,    12,   1,   1,   1,       9717.40,     38.61
   1,    12,   1,   2,   3,       9717.40,     38.61
   1,    12,   1,   3,   4,       9717.40,     38.61
   1,    12,   1,   4,   3,       9717.40,     38.61
   1,    13,   1,   1,   1,       9717.40,     38.61
   1,    13,   1,   2,   3,       9717.40,     38.61
   1,    13,   1,   3,   4,       9717.40,     38.61
   1,    13,   1,   4,   3,       9717.40,     38.61
   1,    14,   1,   1,   1,       9717.40,     38.61
   1,    14,   1,   2,   3,       9717.40,     38.61
   1,    14,   1,   3,   4,       9717.40,     38.61
   1,    14,   1,   4,   3,       9717.40,     38.61
   1,    15,   1,   1,   1,       9717.40,     38.61
   1,    15,   1,   2,   3,       9717.40,     38.61
   1,    15,   1,   3,   4,       9717.40,     38.61
   1,    15,   1,   4,   3,       9717.40,     38.61
   1,    16,   1,   1,   1,       9717.40,     38.61
   1,    16,   1,   2,   3,       9717.40,     38.61
   1,    16,   1,   3,   4,       9717.40,     38.61
   1,    16,   1,   4,   3,       9717.40,     38.61
   1,    17,   1,   1,   1,       9717.40,     38.61
   1,    17,   1,   2,   3,       9717.40,     38.61
   1,    17,   1,   3,   4,       9717.40,     38.61
   1,    17,   1,   4,   3,       9717.40,     38.61
   1,    18,   1,   1,   1,       9717.40,     38.61
   1,    18,   1,   2,   3,       9717.40,     38.61
   1,    18,   1,   3,   4,       9717.40,     38.61
   1,    18,   1,   4,   3,       9717.40,     38.61
   1,    19,   1,   1,   1,       9717.40,     38.61
   1,    19,   1,   2,   3,       9717.40,     38.61
   1,    19,   1,   3,   4,       9717.40,     38.61
   1,    19,   1,   4,   3,       9717.40,     38.61
   1,    20,   1,   1,   1,       9717.40,     38.61
   1,    20,   1,   2,   3,       9717.40,     38.61
   1,    20,   1,   3,   4,       9717.40,     38.61
   1,    20,   1,   4,   3,       9717.40,     38.61
   1,    21,   1,   1,   1,       9717.40,     38.61
   1,    21,   1,   2,   3,       9717.40,     38.61
   1,    21,   1,   3,   4,       9717.40,     38.61
   1,    21,   1,   4,   3,       9717.40,     38.61
   1,    22,   1,   1,   1,       9717.40,     38.61
   1,    22,   1,   2,   3,       9717.40,     38.61
   1,    22,   1,   3,   4,       9717.40,     38.61
   1,    22,   1,   4,   3,       9717.40,     38.61
   1,    23,   1,   1,   1,       9717.40,     38.61
   1,    23,   1,   2,   3,       9717.40,     38.61
   1,    23,   1,   3,   4,       9717.40,     38.61
   1,    23,   1,   4,   3,       9717.40,     38.61
   1,    24,   1,   1,   1,       9717.40,     38.61
   1,    24,   1,   2,   3,       9717.40,     38.61
   1,    24,   1,   3,   4,       9717.40,     38.61
   1,    24,   1,   4,   3,       9717.40,     38.61
   1,    25,   1,   1,   1,       9717.40,     38.61
   1,    25,   1,   2,   3,       9717.40,     38.61
