case,origin,dest,demand,y,flow
    0, 1,  4,200.0000, 39.6111,200.0000
    0, 2,  4,150.0000, 47.6429,150.0000
    1, 1,  4,200.0000, 44.5407,200.0000
    1, 2,  4,150.0000, 35.8206,150.0000
    2, 1,  4,200.0000, 40.7635,200.0000
    2, 2,  4,150.0000, 35.8206,150.0000
    3, 1,  4,200.0000, 39.1407,200.0000
    3, 2,  4,150.0000, 35.8206,150.0000
    4, 1,  4,200.0000, 44.2721,200.0000
    4, 2,  4,150.0000, 26.8603,150.0000
    5, 1,  4,200.0000, 41.2190,200.0000
    5, 2,  4,150.0000, 26.8603,150.0000
    6, 1,  4,200.0000, 39.6875,200.0000
    6, 2,  4,150.0000, 26.8603,150.0000
    7, 1,  4,200.0000, 43.7592,200.0000
    7, 2,  4,150.0000, 24.4862,350.0000
    8, 1,  4,200.0000, 41.5434,200.0000
    8, 2,  4,150.0000, 23.8735,150.0000
    9, 1,  4,200.0000, 40.1118,200.0000
    9, 2,  4,150.0000, 23.8735,150.0000
   10, 1,  4,200.0000, 42.1126,200.0000
   10, 2,  4,150.0000, 22.8397,350.0000
   11, 1,  4,200.0000, 41.7950, 61.7530
   11, 2,  4,150.0000, 22.5220,211.7530
   12, 1,  4,200.0000, 40.4505,200.0000
   12, 2,  4,150.0000, 22.3801,150.0000
   13, 1,  4,200.0000, 41.1247,200.0000
   13, 2,  4,150.0000, 21.8517,350.0000
   14, 1,  4,200.0000, 41.1247,200.0000
   14, 2,  4,150.0000, 21.8517,350.0000
   15, 1,  4,200.0000, 40.7272,200.0000
   15, 2,  4,150.0000, 21.4841,150.0000
   16, 1,  4,200.0000, 38.0542,200.0000
   16, 2,  4,150.0000, 35.8206,150.0000
   17, 1,  4,200.0000, 34.2770,200.0000
   17, 2,  4,150.0000, 35.8206,150.0000
   18, 1,  4,200.0000, 32.6542,200.0000
   18, 2,  4,150.0000, 35.8206,150.0000
   19, 1,  4,200.0000, 37.7856,200.0000
   19, 2,  4,150.0000, 26.8603,150.0000
   20, 1,  4,200.0000, 34.7325,200.0000
   20, 2,  4,150.0000, 26.8603,150.0000
   21, 1,  4,200.0000, 33.2010,200.0000
   21, 2,  4,150.0000, 26.8603,150.0000
   22, 1,  4,200.0000, 37.2727,200.0000
   22, 2,  4,150.0000, 24.4862,350.0000
   23, 1,  4,200.0000, 35.0569,200.0000
   23, 2,  4,150.0000, 23.8735,150.0000
   24, 1,  4,200.0000, 33.6253,200.0000
   24, 2,  4,150.0000, 23.8735,150.0000
   25, 1,  4,200.0000, 35.6261,200.0000
   25, 2,  4,150.0000, 22.8397,350.0000
   26, 1,  4,200.0000, 35.3085, 61.7530
   26, 2,  4,150.0000, 22.5220,211.7530
   27, 1,  4,200.0000, 33.9640,200.0000
   27, 2,  4,150.0000, 22.3801,150.0000
   28, 1,  4,200.0000, 34.6382,200.0000
   28, 2,  4,150.0000, 21.8517,350.0000
   29, 1,  4,200.0000, 34.6382,200.0000
   29, 2,  4,150.0000, 21.8517,350.0000
   30, 1,  4,200.0000, 35.8921,200.0000
   30, 2,  4,150.0000, 35.8206,150.0000
   31, 1,  4,200.0000, 32.1149,200.0000
   31, 2,  4,150.0000, 35.8206,150.0000
   32, 1,  4,200.0000, 30.4920,200.0000
   32, 2,  4,150.0000, 35.8206,150.0000
   33, 1,  4,200.0000, 35.6234,200.0000
   33, 2,  4,150.0000, 26.8603,150.0000
   34, 1,  4,200.0000, 32.5704,200.0000
   34, 2,  4,150.0000, 26.8603,150.0000
   35, 1,  4,200.0000, 31.0389,200.0000
   35, 2,  4,150.0000, 26.8603,150.0000
   36, 1,  4,200.0000, 35.1105,200.0000
   36, 2,  4,150.0000, 24.4862,350.0000
   37, 1,  4,200.0000, 32.8948,200.0000
   37, 2,  4,150.0000, 23.8735,150.0000
   38, 1,  4,200.0000, 31.4631,200.0000
   38, 2,  4,150.0000, 23.8735,150.0000
   39, 1,  4,200.0000, 33.4640,200.0000
   39, 2,  4,150.0000, 22.8397,350.0000
   40, 1,  4,200.0000, 33.1464, 61.7530
   40, 2,  4,150.0000, 22.5220,211.7530
   41, 1,  4,200.0000, 32.4760,200.0000
   41, 2,  4,150.0000, 21.8517,350.0000
   42, 1,  4,200.0000, 43.0776, 47.2167
   42, 2,  4,150.0000, 35.8206,150.0000
   43, 1,  4,200.0000, 40.7635,200.0000
   43, 2,  4,150.0000, 35.8206,150.0000
   44, 1,  4,200.0000, 39.1407,200.0000
   44, 2,  4,150.0000, 35.8206,150.0000
   45, 1,  4,200.0000, 43.0082, 56.3655
   45, 2,  4,150.0000, 26.8603,150.0000
   46, 1,  4,200.0000, 41.2190,200.0000
   46, 2,  4,150.0000, 26.8603,150.0000
   47, 1,  4,200.0000, 39.6875,200.0000
   47, 2,  4,150.0000, 26.8603,150.0000
   48, 1,  4,200.0000, 42.7359, 92.8524
   48, 2,  4,150.0000, 24.1580,242.8524
   49, 1,  4,200.0000, 41.5434,200.0000
   49, 2,  4,150.0000, 23.8735,150.0000
   50, 1,  4,200.0000, 40.1118,200.0000
   50, 2,  4,150.0000, 23.8735,150.0000
   51, 1,  4,200.0000, 42.0171,189.1229
   51, 2,  4,150.0000, 22.8147,339.1229
   52, 1,  4,200.0000, 41.7950, 61.7530
   52, 2,  4,150.0000, 22.5220,211.7530
   53, 1,  4,200.0000, 40.4505,200.0000
   53, 2,  4,150.0000, 22.3801,150.0000
   54, 1,  4,200.0000, 41.1247,200.0000
   54, 2,  4,150.0000, 21.8517,350.0000
   55, 1,  4,200.0000, 41.1247,200.0000
   55, 2,  4,150.0000, 21.8517,350.0000
   56, 1,  4,200.0000, 38.0542,200.0000
   56, 2,  4,150.0000, 35.8206,150.0000
   57, 1,  4,200.0000, 34.2770,200.0000
   57, 2,  4,150.0000, 35.8206,150.0000
   58, 1,  4,200.0000, 32.6542,200.0000
   58, 2,  4,150.0000, 35.8206,150.0000
   59, 1,  4,200.0000, 37.7856,200.0000
   59, 2,  4,150.0000, 26.8603,150.0000
   60, 1,  4,200.0000, 34.7325,200.0000
   60, 2,  4,150.0000, 26.8603,150.0000
   61, 1,  4,200.0000, 33.2010,200.0000
   61, 2,  4,150.0000, 26.8603,150.0000
   62, 1,  4,200.0000, 37.2727,200.0000
   62, 2,  4,150.0000, 24.4862,350.0000
   63, 1,  4,200.0000, 35.0569,200.0000
   63, 2,  4,150.0000, 23.8735,150.0000
   64, 1,  4,200.0000, 33.6253,200.0000
   64, 2,  4,150.0000, 23.8735,150.0000
   65, 1,  4,200.0000, 35.6261,200.0000
   65, 2,  4,150.0000, 22.8397,350.0000
   66, 1,  4,200.0000, 35.3085, 61.7530
   66, 2,  4,150.0000, 22.5220,211.7530
   67, 1,  4,200.0000, 34.6382,200.0000
   67, 2,  4,150.0000, 21.8517,350.0000
   68, 1,  4,200.0000, 35.8921,200.0000
   68, 2,  4,150.0000, 35.8206,150.0000
   69, 1,  4,200.0000, 32.1149,200.0000
   69, 2,  4,150.0000, 35.8206,150.0000
   70, 1,  4,200.0000, 30.4920,200.0000
   70, 2,  4,150.0000, 35.8206,150.0000
   71, 1,  4,200.0000, 35.6234,200.0000
   71, 2,  4,150.0000, 26.8603,150.0000
   72, 1,  4,200.0000, 32.5704,200.0000
   72, 2,  4,150.0000, 26.8603,150.0000
   73, 1,  4,200.0000, 31.0389,200.0000
   73, 2,  4,150.0000, 26.8603,150.0000
   74, 1,  4,200.0000, 35.1105,200.0000
   74, 2,  4,150.0000, 24.4862,350.0000
   75, 1,  4,200.0000, 32.8948,200.0000
   75, 2,  4,150.0000, 23.8735,150.0000
   76, 1,  4,200.0000, 33.4640,200.0000
   76, 2,  4,150.0000, 22.8397,350.0000
   77, 1,  4,200.0000, 38.4590,200.0000
   77, 2,  4,150.0000, 35.8206,150.0000
   78, 1,  4,200.0000, 38.4590,200.0000
   78, 2,  4,150.0000, 35.8206,150.0000
   79, 1,  4,200.0000, 38.1107, 68.1864
   79, 2,  4,150.0000, 35.8206,150.0000
   80, 1,  4,200.0000, 38.4590,200.0000
   80, 2,  4,150.0000, 26.8603,150.0000
   81, 1,  4,200.0000, 38.4590,200.0000
   81, 2,  4,150.0000, 26.8603,150.0000
   82, 1,  4,200.0000, 38.3350, 23.1128
   82, 2,  4,150.0000, 26.8603,150.0000
   83, 1,  4,200.0000, 38.4590,200.0000
   83, 2,  4,150.0000, 23.8735,150.0000
   84, 1,  4,200.0000, 38.4590,200.0000
   84, 2,  4,150.0000, 23.8735,150.0000
   85, 1,  4,200.0000, 38.4590,200.0000
   85, 2,  4,150.0000, 23.8735,150.0000
   86, 1,  4,200.0000, 38.4590,200.0000
   86, 2,  4,150.0000, 22.3801,150.0000
   87, 1,  4,200.0000, 38.4590,200.0000
   87, 2,  4,150.0000, 22.3801,150.0000
   88, 1,  4,200.0000, 38.4590,200.0000
   88, 2,  4,150.0000, 21.4841,150.0000
   89, 1,  4,200.0000, 37.7181,146.9164
   89, 2,  4,150.0000, 35.8206,150.0000
   90, 1,  4,200.0000, 34.2770,200.0000
   90, 2,  4,150.0000, 35.8206,150.0000
   91, 1,  4,200.0000, 32.6542,200.0000
   91, 2,  4,150.0000, 35.8206,150.0000
   92, 1,  4,200.0000, 37.6112,168.6148
   92, 2,  4,150.0000, 26.8603,150.0000
   93, 1,  4,200.0000, 34.7325,200.0000
   93, 2,  4,150.0000, 26.8603,150.0000
   94, 1,  4,200.0000, 33.2010,200.0000
   94, 2,  4,150.0000, 26.8603,150.0000
   95, 1,  4,200.0000, 37.2727,200.0000
